,dteday,season,yr,mnth,holiday,weekday,workingday
15139,2012-09-28,4,1,9,0,5,1
15163,2012-09-29,4,1,9,0,6,0
15187,2012-09-30,4,1,9,0,0,0
15211,2012-10-01,4,1,10,0,1,1
15235,2012-10-02,4,1,10,0,2,1
15259,2012-10-03,4,1,10,0,3,1
15283,2012-10-04,4,1,10,0,4,1
15307,2012-10-05,4,1,10,0,5,1
15331,2012-10-06,4,1,10,0,6,0
15355,2012-10-07,4,1,10,0,0,0
15379,2012-10-08,4,1,10,1,1,0
15403,2012-10-09,4,1,10,0,2,1
15427,2012-10-10,4,1,10,0,3,1
15451,2012-10-11,4,1,10,0,4,1
15475,2012-10-12,4,1,10,0,5,1
15499,2012-10-13,4,1,10,0,6,0
15523,2012-10-14,4,1,10,0,0,0
15547,2012-10-15,4,1,10,0,1,1
15571,2012-10-16,4,1,10,0,2,1
15595,2012-10-17,4,1,10,0,3,1
15619,2012-10-18,4,1,10,0,4,1
15643,2012-10-19,4,1,10,0,5,1
15667,2012-10-20,4,1,10,0,6,0
15691,2012-10-21,4,1,10,0,0,0
15715,2012-10-22,4,1,10,0,1,1
15739,2012-10-23,4,1,10,0,2,1
15763,2012-10-24,4,1,10,0,3,1
15787,2012-10-25,4,1,10,0,4,1
15811,2012-10-26,4,1,10,0,5,1
15835,2012-10-27,4,1,10,0,6,0
15859,2012-10-28,4,1,10,0,0,0
15883,2012-10-29,4,1,10,0,1,1
15884,2012-10-30,4,1,10,0,2,1
15895,2012-10-31,4,1,10,0,3,1
15919,2012-11-01,4,1,11,0,4,1
15943,2012-11-02,4,1,11,0,5,1
15967,2012-11-03,4,1,11,0,6,0
15991,2012-11-04,4,1,11,0,0,0
16015,2012-11-05,4,1,11,0,1,1
16039,2012-11-06,4,1,11,0,2,1
16063,2012-11-07,4,1,11,0,3,1
16087,2012-11-08,4,1,11,0,4,1
16110,2012-11-09,4,1,11,0,5,1
16134,2012-11-10,4,1,11,0,6,0
16158,2012-11-11,4,1,11,0,0,0
16182,2012-11-12,4,1,11,1,1,0
16206,2012-11-13,4,1,11,0,2,1
16230,2012-11-14,4,1,11,0,3,1
16254,2012-11-15,4,1,11,0,4,1
16278,2012-11-16,4,1,11,0,5,1
16302,2012-11-17,4,1,11,0,6,0
16326,2012-11-18,4,1,11,0,0,0
16350,2012-11-19,4,1,11,0,1,1
16374,2012-11-20,4,1,11,0,2,1
16398,2012-11-21,4,1,11,0,3,1
16422,2012-11-22,4,1,11,1,4,0
16446,2012-11-23,4,1,11,0,5,1
16470,2012-11-24,4,1,11,0,6,0
16494,2012-11-25,4,1,11,0,0,0
16518,2012-11-26,4,1,11,0,1,1
16542,2012-11-27,4,1,11,0,2,1
16566,2012-11-28,4,1,11,0,3,1
16590,2012-11-29,4,1,11,0,4,1
16613,2012-11-30,4,1,11,0,5,1
16637,2012-12-01,4,1,12,0,6,0
16661,2012-12-02,4,1,12,0,0,0
16685,2012-12-03,4,1,12,0,1,1
16709,2012-12-04,4,1,12,0,2,1
16733,2012-12-05,4,1,12,0,3,1
16757,2012-12-06,4,1,12,0,4,1
16781,2012-12-07,4,1,12,0,5,1
16805,2012-12-08,4,1,12,0,6,0
16829,2012-12-09,4,1,12,0,0,0
16853,2012-12-10,4,1,12,0,1,1
16877,2012-12-11,4,1,12,0,2,1
16901,2012-12-12,4,1,12,0,3,1
16925,2012-12-13,4,1,12,0,4,1
16949,2012-12-14,4,1,12,0,5,1
16973,2012-12-15,4,1,12,0,6,0
16997,2012-12-16,4,1,12,0,0,0
17021,2012-12-17,4,1,12,0,1,1
17045,2012-12-18,4,1,12,0,2,1
17069,2012-12-19,4,1,12,0,3,1
17093,2012-12-20,4,1,12,0,4,1
17117,2012-12-21,1,1,12,0,5,1
17141,2012-12-22,1,1,12,0,6,0
17165,2012-12-23,1,1,12,0,0,0
17189,2012-12-24,1,1,12,0,1,1
17212,2012-12-25,1,1,12,1,2,0
17235,2012-12-26,1,1,12,0,3,1
17259,2012-12-27,1,1,12,0,4,1
17283,2012-12-28,1,1,12,0,5,1
17307,2012-12-29,1,1,12,0,6,0
17331,2012-12-30,1,1,12,0,0,0
17355,2012-12-31,1,1,12,0,1,1
